RTS,CTS,DTR,DSR,CD,RI,TX Total,RX Total,TX CPS,RX CPS,Break,Overrun,Parity,Framing
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,4,0,4,0,0,0,0
1,0,1,0,0,0,1,4,0,0,0,0,0,0
1,0,1,0,0,0,2,4,1,0,0,0,0,0
1,0,1,0,0,0,3,71,1,67,0,0,0,0
1,0,1,0,0,0,3,110,0,39,0,0,0,0
1,0,1,0,0,0,5,112,2,2,0,0,0,0
1,0,1,0,0,0,8,115,3,3,0,0,0,0
1,0,1,0,0,0,8,152,0,37,0,0,0,0
1,0,1,0,0,0,8,164,0,12,0,0,0,0
1,0,1,0,0,0,9,164,1,0,0,0,0,0
1,0,1,0,0,0,13,169,4,5,0,0,0,0
1,0,1,0,0,0,21,177,8,8,0,0,0,0
1,0,1,0,0,0,29,184,8,7,0,0,0,0
1,0,1,0,0,0,34,190,5,6,0,0,0,0
1,0,1,0,0,0,39,195,5,5,0,0,0,0
1,0,1,0,0,0,40,251,1,56,0,0,0,0
1,0,1,0,0,0,40,351,0,100,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
1,0,1,0,0,0,40,351,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
